"Base features","Grundfunktionen"
"Base Module","Base Modul"
"Configuration","Konfiguration"
"(entries will be logged under /var/log/lvk/info.log)","(Einträge werden unter /var/log/lvk/info.log protokolliert)"
"Flush JS/CSS Cache","JS/CSS Cache spülen"
"Flush Magento's Cache","Magentos Cache spülen"
"Flush Storage Cache","Storage Cache spülen"
"General","Allgemein"
"GENERAL","ALLGEMEIN"
"Save configuration changes in log","Konfigurationsänderungen im Protokoll speichern"
"Suppress version-too-high errors exception at DB status validation","Version-too-high Fehlern bei der DB-Statusüberprüfung unterdrücken"
"Suppress version-too-low errors exception at DB status validation","Version-too-low Fehlern bei der DB-Statusüberprüfung unterdrücken"
