"Active fonts","Aktive Schriftarten"
"API Test","API-Test"
"API-Key","API-Schlüssel"
"Button font family","Schriftfamilie der Buttons"
"Button font color","Schriftfarbe der Buttons"
"Button hover font family","Schriftfamilie der Buttons auf Hover"
"Button hover font color","Schriftfarbe der Buttons auf Hover"
"Buttons","Buttons"
"Category page","Kategorienseite"
"Credentials","Anmeldeinformationen"
"different fonts found","verschiedene fonts gefunden"
"GoogleFonts Module","GoogleFonts Modul"
"H1 font color","H1 Schriftfarbe"
"H1 font family","H1 Schriftfamilie"
"H2 font color","H2 Schriftfarbe"
"H2 font family","H2 Schriftfamilie"
"H3 font color","H3 Schriftfarbe"
"H3 font family","H3 Schriftfamilie"
"is working","funktioniert"
"Link font family","Verlinkungsschriftfamilie"
"Link font color","Verlinkungsschriftfarbe"
"Link hover font family","Verlinkungsschriftfamilie auf Hover"
"Link hover font color","Verlinkungsschriftfarbe auf Hover"
"Main font color","Hauptschriftfarbe"
"Main font family","Hauptschriftfamilie"
"Navigation active font family","Aktive Navigations-Schriftfamilie"
"Navigation active font color","Aktive Navigations-Schriftfarbe"
"Navigation font color","Navigations-Schriftfarbe"
"Navigation hover font color","Navigations-Schriftfarbe auf Hover"
"Navigation font family","Navigations-Schriftfamilie"
"Navigation hover font family","Navigations-Schriftfamilie auf Hover"
"Navigation submenu active font family","Schriftfamilie der aktive Navigations-Untermenüs"
"Navigation submenu active font color","Schriftfarbe der aktive Navigations-Untermenüs"
"Navigation submenu font family","Schriftfamilie der Navigations-Untermenüs"
"Navigation submenu hover font family","Schriftfamilie der Navigations-Untermenüs auf Hover"
"Navigation submenu hover font color","Schriftfarbe der Navigations-Untermenüs auf Hover"
"Navigation submenu font color","Schriftfarbe der Navigations-Untermenüs"
"Primary button font family","Schriftfamilie der primäre Buttons"
"Primary button font color","Schriftfarbe der primäre Buttons"
"Primary button hover font family","Schriftfamilie der primäre Buttons auf Hover"
"Primary button hover font color","Schriftfarbe der primäre Buttons auf Hover"
"Product name font color","Schriftfarbe des Produktnamens"
"Product name font family","Schriftfamilie des Produktnamens"
"Product page","Artikelseite"
"Product price font color","Schriftfarbe des Produktpreises"
"Product price font family","Schriftfamilie des Produktpreises"
"Size","Größe"
"Title font color","Schriftfarbe des Titels"
"Title font family","Schriftfamilie des Titels"
"Variant","Variante"
